sku,title,price_in_pounds,category,description,in_stocks,product_image_link,size,color,activity,gender,material,pattern,strap,style,product_link,scrape_ts
MH09,Abominable Hoodie,69.0,Hoodies & Sweatshirts,"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.
• Blue heather hoodie.• Relaxed fit.• Moisture-wicking.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,"XS, S, M, L, XL","Blue, Green, Red",,,,,,,https://gopher1.extrkt.com/?product=abominable-hoodie,2024-02-04 19:54:23
WJ08,Adrienne Trek Jacket,57.0,Erin Recommends Clothing,"You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.
• gray 1/4 zip pullover.• Comfortable, relaxed fit.• Front zip for venting.• Spacious, kangaroo pockets.• 27″ body length.• 95% Organic Cotton / 5% Spandex.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj08-gray_main.jpg,"XS, S, M, L, XL","Gray, Orange, Purple",,,,,,,https://gopher1.extrkt.com/?product=adrienne-trek-jacket,2024-02-04 19:54:26
WP07,Aeon Capri,48.0,Performance Fabrics Clothing,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.
• Black capris with teal accents.• Thick, 3″ flattering waistband.• Media pocket on inner waistband.• Dry wick finish for ultimate comfort and dryness.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp07-black_main.jpg,"28, 29","Black, Blue, Orange",,,,,,,https://gopher1.extrkt.com/?product=aeon-capri,2024-02-04 19:54:30
MS01,Aero Daily Fitness Tee,24.0,Tees,"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.
Relaxed fit.Short-Sleeve.Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms01-blue_main.jpg,"XS, S, M, L, XL","Black, Brown, Yellow",,,,,,,https://gopher1.extrkt.com/?product=aero-daily-fitness-tee,2024-02-04 19:54:31
MP11,Aether Gym Pant,74.0,Erin Recommends Clothing,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.
• Pants/shorts convertible.• Lightweight moisture wicking.• Water repellent.• Belted waist.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp11-brown_main.jpg,"32, 33, 34, 36","Blue, Brown, Green",,,,,,,https://gopher1.extrkt.com/?product=aether-gym-pant,2024-02-04 19:54:33
24-UG06,Affirm Water Bottle,7.0,Fitness Equipment,"You’ll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you’re drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug06-lb-0.jpg,,,"Yoga, Recreation, Sports, Gym","Men, Women, Boys, Girls, Unisex",Plastic,,,,https://gopher1.extrkt.com/?product=affirm-water-bottle,2024-02-04 19:54:34
24-MG04,Aim Analog Watch,45.0,Watches,"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.",100.0,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg04-bk-0.jpg,,,"Recreation, Sports, Outdoor, Gym",Men,"Plastic, Rubber",,,,https://gopher1.extrkt.com/?product=aim-analog-watch,2024-02-04 19:54:38
MH12,Ajax Full-Zip Sweatshirt,69.0,Hoodies & Sweatshirts,"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.
• Mint striped full zip hoodie.• 100% bonded polyester fleece.• Pouch pocket.• Rib cuffs and hem.• Machine washable.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh12-green_main.jpg,"XS, S, M, L, XL","Blue, Green, Red",,,,,,,https://gopher1.extrkt.com/?product=ajax-full-zip-sweatshirt,2024-02-04 19:54:41
WSH10,Ana Running Short,40.0,Eco Friendly Clothing,"Time to lace up your kicks and beat that personal best in the Ana Running Short. It’s designed with breathable mesh side panels to help keep you cool while you master the miles.
• Black/pink two-layer shorts.• Low-rise elastic waistband.• Relaxed fit.• Ultra-lightweight fabric.• Internal drawstring.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh10-black_main.jpg,"28, 29, 30, 31, 32","Black, Orange, White",,,,,,,https://gopher1.extrkt.com/?product=ana-running-short,2024-02-04 19:54:44
WSH06,Angel Light Running Short,42.0,Shorts,"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona® performance technology, it can whisk away sweat and block UV rays.
• Dark heather gray running shorts.• Snug fit.• Elastic waistband.• Cocona® performance fabric.• Machine wash/dry.",,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh06-gray_main.jpg,"28, 29, 30, 31, 32","Gray, Orange, Purple",,,,,,,https://gopher1.extrkt.com/?product=angel-light-running-short,2024-02-04 19:54:46
